"Huurverhoging woningen; regio"
""
"";"";"Onderwerp"
"";"";"Huurverhoging inclusief huurharmonisatie";"Huurverhoging exclusief huurharmonisatie"
"Regio's";"Perioden";"%";"%"
"Nederland";"2017";"1,6";"1,2"
"Noord-Nederland (LD)";"2017";"1,2";"0,8"
"Oost-Nederland (LD)";"2017";"1,3";"1,0"
"West-Nederland (LD)";"2017";"1,8";"1,3"
"Zuid-Nederland (LD)";"2017";"1,6";"1,2"
"Groningen (PV)";"2017";"1,1";"0,8"
"Friesland (PV)";"2017";"1,3";"0,9"
"Drenthe (PV)";"2017";"1,1";"0,7"
"Overijssel (PV)";"2017";"1,5";"1,0"
"Flevoland (PV)";"2017";"1,3";"1,2"
"Gelderland (PV)";"2017";"1,1";"0,9"
"Utrecht (PV)";"2017";"1,3";"1,0"
"Noord-Holland (PV)";"2017";"2,0";"1,4"
"Zuid-Holland (PV)";"2017";"1,8";"1,3"
"Zeeland (PV)";"2017";"1,4";"1,0"
"Noord-Brabant (PV)";"2017";"1,5";"1,1"
"Limburg (PV)";"2017";"1,6";"1,3"
"Amsterdam";"2017";"2,5";"1,5"
"'s-Gravenhage (gemeente)";"2017";"1,7";"1,6"
"Rotterdam";"2017";"1,8";"1,3"
"Utrecht (gemeente)";"2017";"1,3";"1,0"
"Bron: CBS"
